class_name,function_name,offset_start,offset_end
CH.ifa.draw.util.StorableOutput,writeStorable,993,1102
CH.ifa.draw.util.StandardStorageFormat,store,4367,4492
CH.ifa.draw.util.Iconkit,getImage,3823,3910
CH.ifa.draw.util.Geom,angleToPoint,3489,3617
CH.ifa.draw.standard.StandardDrawingView,setDrawing,4449,4891
CH.ifa.draw.standard.StandardDrawingView,findHandle,9949,10375
CH.ifa.draw.standard.StandardDrawingView,constrainPoint,11428,11674
CH.ifa.draw.standard.PasteCommand,execute,912,1124
CH.ifa.draw.standard.FigureChangeEventMulticaster,remove,2102,2322
CH.ifa.draw.standard.ConnectionTool,mouseDrag,3231,3802
CH.ifa.draw.standard.CompositeFigure,findFigureWithout,6434,6637
CH.ifa.draw.standard.CompositeFigure,findFigure,7237,7475
CH.ifa.draw.standard.BoxHandleKit,addHandles,913,1054
CH.ifa.draw.samples.pert.PertFigure,update,5904,6016
CH.ifa.draw.samples.pert.PertFigure,updateDurations,6607,6733
CH.ifa.draw.samples.pert.PertFigure,write,7363,7515
CH.ifa.draw.samples.pert.PertFigure,read,8039,8193
CH.ifa.draw.samples.net.NodeFigure,initialize,3875,4221
CH.ifa.draw.samples.javadraw.URLTool,mouseDown,797,1374
CH.ifa.draw.samples.javadraw.URLTool,beginEdit,2056,2193
CH.ifa.draw.samples.javadraw.JavaDrawViewer,init,912,1298
CH.ifa.draw.samples.javadraw.JavaDrawApplet,createButtons,2780,2864
CH.ifa.draw.samples.javadraw.JavaDrawApp,createAnimationMenu,3467,3627
CH.ifa.draw.figures.TextTool,mouseDown,1258,1624
CH.ifa.draw.figures.TextTool,beginEdit,2942,3255
CH.ifa.draw.figures.TextFigure,setAttribute,3527,3638
CH.ifa.draw.figures.TextFigure,connect,7824,8105
CH.ifa.draw.figures.ScribbleTool,mouseDown,1439,1699
CH.ifa.draw.figures.RadiusHandle,invokeStep,886,1034
CH.ifa.draw.figures.PolyLineFigure,draw,4703,5120
CH.ifa.draw.figures.PolyLineFigure,write,8828,8939
CH.ifa.draw.figures.InsertImageCommand,execute,819,957
CH.ifa.draw.figures.GroupCommand,execute,875,986
CH.ifa.draw.figures.ElbowHandle,invokeStep,993,1702
CH.ifa.draw.figures.ElbowHandle,constrainX,3323,3459
CH.ifa.draw.figures.ElbowHandle,constrainY,4224,4361
CH.ifa.draw.figures.ElbowConnection,updatePoints,1841,2228
CH.ifa.draw.figures.AttributeFigure,getAttribute,3724,3826
CH.ifa.draw.figures.AbstractLineDecoration,write,1667,1872
CH.ifa.draw.contrib.SplitPaneDrawApplication,createContents,1448,1687
CH.ifa.draw.contrib.PolygonTool,mouseDown,1570,1863
CH.ifa.draw.contrib.PolygonFigure,scaleRotate,4449,4739
CH.ifa.draw.contrib.PolygonFigure,splitSegment,6759,7134
CH.ifa.draw.contrib.PolygonFigure,chop,12538,12728
CH.ifa.draw.contrib.DiamondFigure,draw,953,1181
CH.ifa.draw.contrib.CustomSelectionTool,mouseDown,1565,1931
CH.ifa.draw.contrib.CustomSelectionTool,mouseUp,2925,3291
CH.ifa.draw.contrib.CustomSelectionTool,handlePopupMenu,4797,5423
CH.ifa.draw.application.DrawApplication,promptOpen,21128,21586
CH.ifa.draw.application.DrawApplication,promptSaveAs,21877,22016
CH.ifa.draw.applet.DrawApplet,init,1981,3076
CH.ifa.draw.applet.DrawApplet,createAttributeChoices,5470,5739
CH.ifa.draw.applet.DrawApplet,loadDrawing,13339,13585
CH.ifa.draw.applet.DrawApplet,readDrawing,13843,14308
CH.ifa.draw.applet.DrawApplet,readFromStorableInput,14781,14854
CH.ifa.draw.applet.DrawApplet,readFromObjectInput,15318,15391
