junit.textui.TestRunner	protected junit.framework.TestResult start(java.lang.String[]) throws java.lang.Exception	e4280:304;
junit.textui.ResultPrinter	synchronized void print(junit.framework.TestResult, long) 	e715:465;
junit.swingui.TestRunner	public void testFailed(int, junit.framework.Test, java.lang.Throwable) 	e2103:112;
junit.swingui.TestRunner	private void addToHistory(java.lang.String) 	e3342:215;
junit.swingui.TestRunner	protected javax.swing.JPanel createFailedPanel() 	e5165:192;
junit.swingui.TestRunner	protected javax.swing.JMenu createJUnitMenu() 	e6595:174;
junit.swingui.TestRunner	protected javax.swing.JFrame createFrame(java.lang.String) 	e7214:175;
junit.swingui.TestRunner	protected javax.swing.JButton createQuitButton() 	e8435:175;
junit.swingui.TestRunner	protected javax.swing.JButton createRunButton() 	e8872:361;
junit.swingui.TestRunner	protected JComboBox#RAW createSuiteCombo() 	e10024:373;
junit.swingui.TestRunner	protected javax.swing.JFrame createUI(java.lang.String) 	e12468:414;
junit.swingui.TestRunner	public synchronized void runSuite() 	e18807:139;
junit.swingui.TestRunner	protected synchronized void runTest(junit.framework.Test) 	e19413:139;
junit.swingui.TestRunner	public void terminate() 	e22947:319;
junit.runner.BaseTestRunner	protected static java.util.Properties getPreferences() 	e995:297;
junit.framework.TestResult	protected void run(junit.framework.TestCase) 	e2832:226;
junit.framework.TestResult	public void runProtected(junit.framework.Test, junit.framework.Protectable) 	e3513:192;
junit.framework.Assert	public static void assertEquals(java.lang.String, java.lang.Object, java.lang.Object) 	e1686:140;
junit.framework.Assert	public static void assertEquals(java.lang.String, double, double, double) 	e3073:170;
junit.framework.Assert	public static void assertEquals(java.lang.String, float, float, float) 	e4232:168;
junit.awtui.TestRunner	public void testFailed(int, junit.framework.Test, java.lang.Throwable) 	e2017:337;
junit.awtui.TestRunner	protected java.awt.Menu createJUnitMenu() 	e3731:136;
junit.awtui.TestRunner	protected java.awt.Frame createUI(java.lang.String) 	e5278:1165;
junit.awtui.TestRunner	protected java.awt.Panel createCounterPanel() 	e10289:421;
junit.awtui.TestRunner	protected void reset() 	e14226:169;
