class_name,function_name,offset_start,offset_end
junit.textui.TestRunner,start,4104,4399
junit.textui.ResultPrinter,print,681,1134
junit.swingui.TestRunner,run,2029,2139
junit.swingui.TestRunner,addToHistory,3211,3422
junit.swingui.TestRunner,actionPerformed,4965,5154
junit.swingui.TestRunner,actionPerformed,6337,6505
junit.swingui.TestRunner,createFrame,6920,7089
junit.swingui.TestRunner,actionPerformed,8087,8256
junit.swingui.TestRunner,createRunButton,8495,8844
junit.swingui.TestRunner,createSuiteCombo,9591,9952
junit.swingui.TestRunner,createUI,11933,12336
junit.swingui.TestRunner,runSuite,18061,18196
junit.swingui.TestRunner,runTest,18633,18768
junit.swingui.TestRunner,terminate,22006,22316
junit.runner.BaseTestRunner,getPreferences,953,1239
junit.framework.TestResult,run,2725,2945
junit.framework.TestResult,runProtected,3366,3555
junit.framework.Assert,assertEquals,1618,1755
junit.framework.Assert,assertEquals,2957,3124
junit.framework.Assert,assertEquals,4081,4246
junit.awtui.TestRunner,testFailed,1943,2268
junit.awtui.TestRunner,actionPerformed,3589,3722
junit.awtui.TestRunner,actionPerformed,5063,6191
junit.awtui.TestRunner,createCounterPanel,9909,10320
junit.awtui.TestRunner,reset,13695,13861
