class_name,function_name,offset_start,offset_end
ca.ualberta.cs.serl.wikidev.clustering.Hierarchical,clustering,737,932
ca.ualberta.cs.serl.wikidev.clustering.Hierarchical,clustering,1349,2467
ca.ualberta.cs.serl.wikidev.clustering.Hierarchical,clustering,2487,3579
ca.ualberta.cs.serl.wikidev.clustering.MatrixOperator,getFiedlerVector,685,1180
ca.ualberta.cs.serl.wikidev.clustering.MatrixOperator,getFiedlerVector,1541,2038
ca.ualberta.cs.serl.wikidev.clustering.MatrixOperator,getFiedlerVector,2048,2417
ca.ualberta.cs.serl.wikidev.clustering.MatrixOperator,getFiedlerVector,2426,2729
ca.ualberta.cs.serl.wikidev.RelationshipMiner,getRelationships,2607,4336
ca.ualberta.cs.serl.wikidev.RelationshipMiner,getRelationships,4342,5700
ca.ualberta.cs.serl.wikidev.RelationshipMiner,getRelationships,5706,7782
ca.ualberta.cs.serl.wikidev.ClusteringMain,main,2996,3227
ca.ualberta.cs.serl.wikidev.ClusteringMain,main,3302,3576
ca.ualberta.cs.serl.wikidev.DataManager,getArtifactByTypeAndID,11629,12914
ca.ualberta.cs.serl.wikidev.DataManager,getArtifactByTypeAndID,12952,14664
ca.ualberta.cs.serl.wikidev.DataManager,getArtifactByTypeAndID,13575,13919
ca.ualberta.cs.serl.wikidev.DataManager,getArtifactByTypeAndID,14341,14653
ca.ualberta.cs.serl.wikidev.DataManager,getArtifactByTypeAndID,13969,14286
ca.ualberta.cs.serl.wikidev.RelationshipMiner,relateChangeSetToTicket,9968,10329
ca.ualberta.cs.serl.wikidev.city3d.Layout,getLayout,1302,1624
ca.ualberta.cs.serl.wikidev.city3d.Layout,getLayout,2342,2521
ca.ualberta.cs.serl.wikidev.city3d.Layout,cityBlockInitialization,2982,3353
ca.ualberta.cs.serl.wikidev.city3d.IndustrialLayout,printCityBlocks,12288,12837
ca.ualberta.cs.serl.wikidev.city3d.Layout,pushBuildings,4029,4221
ca.ualberta.cs.serl.wikidev.city3d.Layout,pushBuildings,4226,4525
ca.ualberta.cs.serl.wikidev.city3d.CityLayout,printCityBlocks,8329,9174
ca.ualberta.cs.serl.wikidev.clustering.MatrixOperator,getConnectedComponents,8940,9178
